INFO  - 2013-11-22 01:20:10.392; org.apache.solr.core.SolrResourceLoader; Adding 'file:/opt/solr/blacklight-core/contrib/extraction/lib/vorbis-java-tika-0.1.jar' to classloader
INFO  - 2013-11-22 01:20:10.392; org.apache.solr.core.SolrResourceLoader; Adding 'file:/opt/solr/blacklight-core/contrib/extraction/lib/tagsoup-1.2.1.jar' to classloader
INFO  - 2013-11-22 01:20:10.398; org.apache.solr.core.SolrResourceLoader; Adding 'file:/opt/solr/blacklight-core/contrib/extraction/lib/poi-ooxml-schemas-3.8.jar' to classloader
INFO  - 2013-11-22 01:20:10.398; org.apache.solr.core.SolrResourceLoader; Adding 'file:/opt/solr/blacklight-core/contrib/extraction/lib/pdfbox-1.7.1.jar' to classloader
INFO  - 2013-11-22 01:20:10.398; org.apache.solr.core.SolrResourceLoader; Adding 'file:/opt/solr/blacklight-core/contrib/extraction/lib/boilerpipe-1.1.0.jar' to classloader
INFO  - 2013-11-22 01:20:10.398; org.apache.solr.core.SolrResourceLoader; Adding 'file:/opt/solr/blacklight-core/contrib/extraction/lib/apache-mime4j-core-0.7.2.jar' to classloader
INFO  - 2013-11-22 01:20:10.399; org.apache.solr.core.SolrResourceLoader; Adding 'file:/opt/solr/blacklight-core/contrib/extraction/lib/metadata-extractor-2.6.2.jar' to classloader
INFO  - 2013-11-22 01:20:10.399; org.apache.solr.core.SolrResourceLoader; Adding 'file:/opt/solr/blacklight-core/contrib/extraction/lib/apache-mime4j-dom-0.7.2.jar' to classloader
INFO  - 2013-11-22 01:20:10.399; org.apache.solr.core.SolrResourceLoader; Adding 'file:/opt/solr/blacklight-core/contrib/extraction/lib/vorbis-java-core-0.1.jar' to classloader
INFO  - 2013-11-22 01:20:10.399; org.apache.solr.core.SolrResourceLoader; Adding 'file:/opt/solr/blacklight-core/contrib/extraction/lib/jdom-1.0.jar' to classloader
INFO  - 2013-11-22 01:20:10.400; org.apache.solr.core.SolrResourceLoader; Adding 'file:/opt/solr/blacklight-core/contrib/clustering/lib/simple-xml-2.6.4.jar' to classloader
INFO  - 2013-11-22 01:20:10.400; org.apache.solr.core.SolrResourceLoader; Adding 'file:/opt/solr/blacklight-core/contrib/clustering/lib/jackson-core-asl-1.7.4.jar' to classloader
INFO  - 2013-11-22 01:20:10.400; org.apache.solr.core.SolrResourceLoader; Adding 'file:/opt/solr/blacklight-core/contrib/clustering/lib/mahout-math-0.6.jar' to classloader
INFO  - 2013-11-22 01:20:10.401; org.apache.solr.core.SolrResourceLoader; Adding 'file:/opt/solr/blacklight-core/contrib/clustering/lib/carrot2-mini-3.6.2.jar' to classloader
INFO  - 2013-11-22 01:20:10.409; org.apache.solr.core.SolrResourceLoader; Adding 'file:/opt/solr/blacklight-core/contrib/clustering/lib/hppc-0.4.1.jar' to classloader
INFO  - 2013-11-22 01:20:10.409; org.apache.solr.core.SolrResourceLoader; Adding 'file:/opt/solr/blacklight-core/contrib/clustering/lib/jackson-mapper-asl-1.7.4.jar' to classloader
INFO  - 2013-11-22 01:20:10.410; org.apache.solr.core.SolrResourceLoader; Adding 'file:/opt/solr/blacklight-core/contrib/clustering/lib/mahout-collections-1.0.jar' to classloader
INFO  - 2013-11-22 01:20:10.410; org.apache.solr.core.SolrResourceLoader; Adding 'file:/opt/solr/blacklight-core/contrib/clustering/lib/attributes-binder-1.0.1.jar' to classloader
INFO  - 2013-11-22 01:20:10.410; org.apache.solr.core.SolrResourceLoader; Adding 'file:/opt/solr/blacklight-core/contrib/velocity/lib/commons-collections-3.2.1.jar' to classloader
INFO  - 2013-11-22 01:20:10.411; org.apache.solr.core.SolrResourceLoader; Adding 'file:/opt/solr/blacklight-core/contrib/velocity/lib/commons-beanutils-1.7.0.jar' to classloader
INFO  - 2013-11-22 01:20:10.411; org.apache.solr.core.SolrResourceLoader; Adding 'file:/opt/solr/blacklight-core/contrib/velocity/lib/velocity-1.7.jar' to classloader
INFO  - 2013-11-22 01:20:10.411; org.apache.solr.core.SolrResourceLoader; Adding 'file:/opt/solr/blacklight-core/contrib/velocity/lib/velocity-tools-2.0.jar' to classloader
INFO  - 2013-11-22 01:20:10.411; org.apache.solr.core.SolrResourceLoader; Adding 'file:/opt/solr/blacklight-core/contrib/analysis-extras/lib/morfologik-stemming-1.5.5.jar' to classloader
INFO  - 2013-11-22 01:20:10.412; org.apache.solr.core.SolrResourceLoader; Adding 'file:/opt/solr/blacklight-core/contrib/analysis-extras/lib/morfologik-polish-1.5.5.jar' to classloader
INFO  - 2013-11-22 01:20:10.412; org.apache.solr.core.SolrResourceLoader; Adding 'file:/opt/solr/blacklight-core/contrib/analysis-extras/lib/icu4j-49.1.jar' to classloader
INFO  - 2013-11-22 01:20:10.412; org.apache.solr.core.SolrResourceLoader; Adding 'file:/opt/solr/blacklight-core/contrib/analysis-extras/lib/morfologik-fsa-1.5.5.jar' to classloader
